"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
82,0.5,0.25,15,2,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.227218453595419,0.298870418515786,0.298816990047749,0.405582816220901,0.227218453595419,0.298870418515786,0,0.02,1,0.298816990047749,0.405582816220901,0,0.02,1
83,0.5,0.25,15,5,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.239108075036603,0.318159214852289,0.537078917905761,0.549356297152326,0.239108075036603,0.318159214852289,0,0.02,1,0.537078917905761,0.549356297152326,0,0.02,1
84,0.5,0.25,15,10,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.225484536400795,0.29588748939921,0.631153695160424,0.671213029762967,0.225484536400795,0.29588748939921,0,0.02,1,0.631153695160424,0.671213029762967,0,0.02,1
85,0.5,0.25,20,2,0.337708365563488,0.000230663361602268,0.33793902892509,0.33793902892509,0.337708365563488,0.351752073647858,0.436205436877522,0.541792794602741,0.556469356837697,0.351752073647858,0.436205436877522,0,0.02,1,0.541792794602741,0.556469356837697,0,0.02,1
86,0.5,0.25,20,5,0.337708365563488,0.000230663361602268,0.33793902892509,0.33793902892509,0.337708365563488,0.31635556377959,0.408168972652157,0.632306021269396,0.672480864130618,0.31635556377959,0.408168972652157,0,0.02,1,0.632306021269396,0.672480864130618,0,0.02,1
87,0.5,0.25,20,10,0.337708365563488,0.000230663361602268,0.33793902892509,0.33793902892509,0.337708365563488,0.313121025927315,0.405290915107593,0.790442908996152,0.811407310436857,0.313121025927315,0.405290915107593,0,0.02,1,0.790442908996152,0.811407310436857,0,0.02,1
88,0.5,0.25,30,2,0.47784098594094,0.0000555348192697869,0.47789652076021,0.47789652076021,0.47784098594094,0.522590020810684,0.526689733974608,0.621975813002795,0.660947451548651,0.522590020810684,0.526689733974608,0,0.02,1,0.621975813002795,0.660947451548651,0,0.02,1
89,0.5,0.25,30,5,0.47784098594094,0.0000555348192697869,0.47789652076021,0.47789652076021,0.47784098594094,0.539099298536074,0.552440895669139,0.850965699418893,0.850987577380009,0.539099298536074,0.552440895669139,0,0.02,1,0.850965699418893,0.850987577380009,0,0.02,1
90,0.5,0.25,30,10,0.47784098594094,0.0000555348192697869,0.47789652076021,0.47789652076021,0.47784098594094,0.430607204762812,0.534297403212862,0.894686502767232,0.898840580903088,0.430607204762812,0.534297403212862,0,0.02,1,0.894686502767232,0.898840580903088,0,0.02,1
91,0.5,0.5,15,2,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.215285700024212,0.277369508980176,0.26582599960028,0.355209023035094,0.215285700024212,0.277369508980176,0,0.02,1,0.26582599960028,0.355209023035094,0,0.02,1
92,0.5,0.5,15,5,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.206384818235431,0.2597125850552,0.370189366948522,0.448685348251948,0.206384818235431,0.2597125850552,0,0.02,1,0.370189366948522,0.448685348251948,0,0.02,1
